sex,child_in_family,weekly_study_hours,Score,Health,FamilyEDU,age,Fails,Free_time,job_no,job_yes,activities_no,activities_yes,Nationality_Kyrgyz,Nationality_Russian,Predict
0.0,0.6000000000000001,0.54,0.0,0.0,0.0,0.3999999999999999,0.2857142857142857,0.09523809523809523,True,False,True,False,False,True,2
1.0,0.4,0.9400000000000001,0.026737967914438387,0.75,1.0,0.7999999999999998,0.7142857142857142,0.8095238095238094,True,False,True,False,False,True,2
1.0,1.0,0.06,0.04278074866310133,1.0,0.0,0.5999999999999996,0.42857142857142855,0.4285714285714285,True,False,True,False,False,True,2
0.0,1.0,0.2,0.05882352941176472,0.5,1.0,0.3999999999999999,0.47619047619047616,0.09523809523809523,True,False,True,False,False,True,2
1.0,0.4,0.52,0.07486631016042766,0.0,1.0,0.3999999999999999,0.47619047619047616,0.47619047619047616,True,False,True,False,False,True,2
0.0,0.6000000000000001,0.46,0.0855614973262031,0.0,1.0,0.7999999999999998,0.2857142857142857,0.0,True,False,False,True,False,True,2
0.0,0.4,0.68,0.10160427807486627,0.25,0.0,0.19999999999999973,0.3333333333333333,0.6666666666666666,False,True,False,True,False,True,2
1.0,0.6000000000000001,0.36,0.11229946524064172,0.25,0.0,1.0,0.0,0.047619047619047616,True,False,False,True,False,True,2
1.0,0.4,0.14,0.11764705882352922,0.25,1.0,0.19999999999999973,0.19047619047619047,0.09523809523809523,True,False,True,False,False,True,2
0.0,0.2,0.14,0.11764705882352922,0.0,1.0,0.5999999999999996,0.6190476190476191,0.3333333333333333,True,False,True,False,False,True,2
1.0,0.6000000000000001,0.78,0.1336898395721926,0.5,0.0,0.7999999999999998,0.8095238095238095,0.2857142857142857,True,False,True,False,False,True,2
1.0,0.6000000000000001,0.6,0.1390374331550801,0.5,0.0,0.7999999999999998,0.5238095238095237,0.47619047619047616,True,False,False,True,False,True,2
0.0,0.4,0.56,0.1390374331550801,1.0,1.0,0.7999999999999998,0.8095238095238095,0.0,True,False,False,True,False,True,2
0.0,0.2,0.74,0.14973262032085555,0.0,0.0,0.0,0.38095238095238093,0.09523809523809523,True,False,True,False,False,True,2
1.0,0.4,0.54,0.15508021390374327,0.25,1.0,0.3999999999999999,0.23809523809523808,0.9999999999999999,True,False,True,False,False,True,2
0.0,0.6000000000000001,0.3,0.15508021390374327,0.0,0.0,0.3999999999999999,0.6666666666666666,0.19047619047619047,False,True,True,False,False,True,2
1.0,0.8,0.7000000000000001,0.17112299465240643,0.75,0.0,0.7999999999999998,0.5238095238095237,0.3333333333333333,True,False,True,False,False,True,2
1.0,1.0,0.44,0.17112299465240643,0.5,1.0,0.0,0.23809523809523808,0.47619047619047616,True,False,True,False,False,True,2
0.0,0.6000000000000001,0.68,0.17647058823529393,1.0,0.0,0.7999999999999998,0.8571428571428571,0.7619047619047619,True,False,True,False,False,True,2
0.0,0.0,0.46,0.17647058823529393,0.0,1.0,0.3999999999999999,0.6666666666666666,0.3333333333333333,True,False,True,False,False,True,2
0.0,0.2,0.34,0.17647058823529393,0.5,1.0,0.5999999999999996,0.9523809523809523,0.09523809523809523,True,False,False,True,False,True,2
1.0,0.6000000000000001,0.38,0.17647058823529393,0.25,0.0,0.0,0.19047619047619047,0.8571428571428571,True,False,True,False,False,True,2
1.0,0.0,0.28,0.18181818181818188,0.0,0.0,0.7999999999999998,0.14285714285714285,0.2857142857142857,True,False,True,False,False,True,2
1.0,0.8,0.6,0.18181818181818188,0.25,0.0,1.0,0.8095238095238095,0.14285714285714285,True,False,True,False,False,True,2
0.0,0.8,0.6,0.18181818181818188,0.25,0.0,0.19999999999999973,0.8095238095238095,0.23809523809523808,True,False,True,False,False,True,2
1.0,0.2,0.48,0.18716577540106938,0.25,1.0,0.0,0.6666666666666666,0.19047619047619047,True,False,True,False,False,True,2
1.0,0.6000000000000001,0.62,0.1925133689839571,1.0,1.0,0.0,0.9047619047619047,0.9999999999999999,True,False,False,True,False,True,2
1.0,0.2,0.42,0.1925133689839571,0.75,1.0,0.5999999999999996,0.7619047619047619,0.3333333333333333,True,False,True,False,False,True,2
